COUNTRY,REGION,AREA
Algeria,North,2381740.00
Egypt,North,1001451.00
Libya,North,1759540.00
Mauritania,North,1030700.00
Morocco,North,446550.00
Sahrawi Arab Democratic Republic (Western Sahara),North,266060.00
Tunisia,North,163610.00
Angola,Southern,1246700.00
Botswana,Southern,581726.00
Lesotho,Southern,17364.00
Malawi,Southern,30355.00
Mozambique,Southern,118484.00
Namibia,Southern,801590.00
South Africa,Southern,824116.00
Swaziland,Southern,1221037.00
Zambia,Southern,752618.00
Zimbabwe,Southern,390757.00
Comoros,East,2235.00
Djibouti,East,23200.00
Ethiopia,East,117600.00
Eritrea,East,1104300.00
Kenya,East,580367.00
Madagascar,East,587041.00
Mauritius,East,2040.00
Rwanda,East,26798.00
Seychelles,East,451.00
Somalia,East,637661.00
South Sudan,East,619745.00
Sudan,East,1886068.00
Tanzania,East,945087.00
Uganda,East,236040.00
Benin,West,112622.00
Burkina Faso,West,274000.00
Cape Verde,West,4033.00
Cote d'Ivoire,West,322462.00
Gambia,West,10380.00
Ghana,West,238534.00
Guinea-Bissau,West,36125.00
Guinea,West,245857.00
Liberia,West,111369.00
Mali,West,1240192.00
Niger,West,1267000.00
Nigeria,West,923768.00
Senegal,West,196723.00
Sierra Leone,West,71740.00
Togo,West,56785.00
Burundi,Central,27834.00
Cameroon,Central,475442.00
Central African Republic,Central,622984.00
Chad,Central,1284000.00
Congo Republic,Central,342000.00
DR Congo,Central,2345409.00
Equatorial Guinea,Central,28051.00
Gabon,Central,267667.00
São Tomé and Príncipe,Central,964.00
